episode,episode_reward,avg_loss,episode_steps,global_step,num_tls,epsilon_end,arrived_vehicles,avg_wait_time,avg_travel_time,avg_stops,avg_queue,decision_cycle_sec,decision_steps,waiting_total,cycle_60_count,cycle_90_count,cycle_120_count,cycle_60_pct,cycle_90_pct,cycle_120_pct,cycle_entropy,phase_name,phase_episode
57,-625.9367551892552,6.7972948425694515,19,9729,9,0.7948,4101,172.63447939526944,389.18775908315047,10.289929285540111,818.0552486187845,60.0,70,28939.5,7,8,4,38.84007029876977,31.45869947275923,29.701230228471005,1.5749946586730186,phase2_moderate,27
58,-785.800235042735,7.111900874546596,21,9918,9,0.79081,3692,197.4626218851571,401.9005958829903,10.16522210184182,925.8206349206349,90.0,100,54599.0,11,6,4,39.05172413793103,31.46551724137931,29.48275862068965,1.5741499189313006,phase2_moderate,28
59,-565.400415140415,6.759178018569946,20,10098,9,0.78701,3398,140.12419070041202,335.3116539140671,8.011183048852265,469.628021978022,60.0,70,25165.5,12,2,6,39.45808636748519,31.07535986452159,29.466553767993226,1.572802915139993,phase2_moderate,29
60,-642.4968101343102,6.832251934778123,21,10287,9,0.78302,3846,173.50884035361415,392.78471138845555,10.631305252210089,685.9602150537635,60.0,70,25756.5,11,7,3,39.73399833748961,31.08894430590191,29.177057356608476,1.571595726394967,phase2_moderate,30
61,-552.0941514041513,6.977578830718994,20,10467,9,0.77922,3565,144.56213183730716,344.24039270687234,8.529312762973351,476.8287234042553,120.0,130,53288.5,8,8,4,39.705882352941174,31.209150326797385,29.08496732026144,1.571605334125574,phase2_moderate,31
62,-670.8243742368743,7.003684234619141,20,10647,9,0.77542,3746,182.8323545114789,393.17164975974373,10.03310197544047,642.7968085106382,90.0,100,43784.25,10,4,6,39.83935742971887,31.08433734939759,29.076305220883537,1.5711259974744012,phase2_moderate,32
63,-469.13601037851043,6.866763140025892,19,10818,9,0.77181,4039,170.5808368408022,391.0430799702897,10.628373359742511,717.6165745856354,90.0,100,38985.0,7,8,4,39.76284584980237,31.30434782608696,28.932806324110672,1.571244277458617,phase2_moderate,33
64,-659.4000793650795,6.967257454281762,21,11007,9,0.76782,3574,173.67039731393396,396.8251259093453,10.19781757134863,628.2067708333333,120.0,130,67757.25,12,3,6,40.01554001554001,31.002331002331,28.98212898212898,1.570395142514199,phase2_moderate,34
65,-702.7332997557999,7.0394422054290775,20,11187,9,0.76402,3826,163.00940930475693,365.8044955567172,9.315473078933612,852.9654255319149,120.0,130,78778.25,9,6,5,40.0611620795107,30.963302752293576,28.97553516819572,1.5702200190224538,phase2_moderate,35
66,-400.2121794871795,7.013332870271471,18,11349,9,0.7605999999999999,3554,144.19555430500844,341.3545301069218,7.607484524479459,402.13870967741934,60.0,70,16349.75,6,4,8,40.015071590052756,30.821401657874908,29.163526752072343,1.5705574051229685,phase2_moderate,36
67,-744.9501556776556,7.036045483180454,21,11538,9,0.75661,3557,167.66432386842845,381.62777621591226,9.631149845375317,854.9022222222222,60.0,70,37011.75,12,7,2,40.32616753150482,30.83765752409192,28.836174944403258,1.569080595449003,phase2_moderate,37
68,-649.7044383394384,6.911840234483991,21,11727,9,0.75262,3999,187.76944236059015,419.04276069017254,12.4161040260065,939.6865591397849,120.0,130,57513.0,13,3,5,40.62727935813275,30.561633843909554,28.811086797957696,1.5678567231104517,phase2_moderate,38
69,-690.948205128205,6.900352803143588,22,11925,9,0.74844,4091,145.79173796137863,336.28526032754826,7.909068687362503,688.3569060773481,60.0,70,28591.75,14,7,1,41.03299856527977,30.55954088952654,28.407460545193686,1.5657767365391755,phase2_moderate,39
70,-669.8245146520147,6.955164003372192,20,12105,9,0.74464,4010,180.76608478802993,399.37880299251873,11.424189526184538,881.6664835164835,120.0,130,72604.0,9,8,3,41.06007067137809,30.671378091872793,28.26855123674912,1.5655073058331492,phase2_moderate,40
71,-906.2726251526252,6.913042902946472,20,12285,9,0.7408399999999999,3614,187.99557277255118,408.8101826231323,10.375760929717764,1355.8538461538462,90.0,100,72884.75,11,4,5,41.22562674094708,30.57103064066852,28.203342618384404,1.5647255617366898,phase2_moderate,41
72,-592.8408577533578,7.246478133731419,18,12447,9,0.73742,3325,144.8784962406015,343.1296240601504,7.774736842105263,536.9111111111112,60.0,70,32421.75,6,6,6,41.16838487972508,30.584192439862544,28.24742268041237,1.5650226430337375,phase2_moderate,42
73,-694.8241727716728,6.935643723136501,19,12618,9,0.7338100000000001,3903,182.12093261593645,390.0420189597745,9.905713553676659,851.291847826087,90.0,100,65124.25,8,5,6,41.152542372881356,30.576271186440678,28.271186440677965,1.5651176141116165,phase2_moderate,43
74,-769.8809432234433,7.161832237243653,20,12798,9,0.73001,3828,200.0937826541275,426.24320794148383,12.470480668756531,939.2244680851064,120.0,130,83574.25,8,8,4,41.1096256684492,30.681818181818183,28.208556149732622,1.5652267697801965,phase2_moderate,44
75,-537.3490476190477,7.100336903019955,19,12969,9,0.7264,3707,151.8111680604262,356.42972754248717,8.650930671702184,611.6519337016574,120.0,130,49340.5,9,4,6,41.16094986807388,30.54089709762533,28.298153034300793,1.5651115828235738,phase2_moderate,45
76,-1024.964630647131,7.192610287666321,20,13149,9,0.7226,3718,196.0311995696611,405.4744486282948,9.613770844540076,1239.3324175824175,60.0,70,53697.75,11,4,5,41.37931034482759,30.383864671437866,28.23682498373455,1.5640888498949574,phase3_baseline,1
77,-779.2363308913309,7.275290152605842,17,13302,9,0.7193700000000001,3597,204.77981651376146,430.85404503753125,10.70364192382541,935.3791208791209,120.0,130,98995.25,4,5,8,41.157556270096464,30.35369774919614,28.488745980707396,1.565318376492837,phase3_baseline,2
78,-965.574700854701,7.094115495681763,20,13482,9,0.71557,4388,226.0355515041021,464.66203281677303,12.025979945305378,1237.606282722513,120.0,130,104473.0,11,1,8,41.307106598984774,30.01269035532995,28.680203045685282,1.5647956545502675,phase3_baseline,3
79,-918.8599633699633,7.19601099114669,19,13653,9,0.7119599999999999,3847,204.8505328827658,438.0197556537562,12.087080842214712,1106.6132596685084,90.0,100,72857.75,8,6,5,41.290726817042604,30.075187969924812,28.634085213032584,1.5648394000043429,phase3_baseline,4
80,-1082.7014468864468,7.446599778674898,21,13842,9,0.70797,3380,179.04674556213018,400.51420118343196,10.807396449704141,1390.2805555555556,90.0,100,85227.25,13,5,3,41.5327564894932,30.03708281829419,28.43016069221261,1.563567209924323,phase3_baseline,5
81,-984.7126739926744,7.361520290374756,21,14031,9,0.70398,4024,181.31212723658052,415.633449304175,11.4110337972167,1100.7387978142076,120.0,130,101200.25,12,6,3,41.70731707317073,30.0,28.292682926829265,1.5626316613663889,phase3_baseline,6
82,-1005.6470238095237,7.221594953536988,20,14211,9,0.70018,4328,181.04505545286506,385.24838262476896,10.158502772643253,1265.3558510638297,120.0,130,109486.25,8,8,4,41.66164960866948,30.102347983142685,28.236002408187836,1.5627971257977955,phase3_baseline,7
83,-852.0118650793651,7.296814398332075,22,14409,9,0.696,4183,175.95194836241933,404.44059287592637,10.833373177145589,1180.283152173913,90.0,100,57575.5,13,8,1,41.8646080760095,30.225653206650833,27.909738717339668,1.5615062360860998,phase3_baseline,8
84,-779.0130128205129,7.441603899002075,20,14589,9,0.6921999999999999,3435,195.1112081513828,406.62096069868994,10.37962154294032,725.9252747252747,60.0,70,35556.75,10,6,4,41.9941348973607,30.205278592375368,27.80058651026393,1.5607659143131,phase3_baseline,9
85,-754.9669597069598,7.2771578062148325,21,14778,9,0.68821,4408,168.55966424682396,383.8917876588022,10.175589836660617,949.1244791666667,120.0,130,66298.5,12,3,6,42.154024319629414,29.99420961204401,27.851766068326576,1.560051345884642,phase3_baseline,10
86,-962.0513339438342,7.496327604566302,21,14967,9,0.68422,4181,171.58215737861755,394.6940923224109,10.352068883042334,1038.048087431694,60.0,70,45132.0,14,2,5,42.48141795311607,29.731275014293885,27.787307032590054,1.5583389243348127,phase3_baseline,11
87,-1250.215296092796,7.288119361514137,21,15156,9,0.68023,3735,204.5590361445783,421.36412315930386,11.365194109772423,1360.7725806451613,60.0,70,66678.5,12,5,4,42.68774703557312,29.64426877470356,27.66798418972332,1.5571474750619254,phase3_baseline,12
88,-934.2304395604395,7.544150602249872,21,15345,9,0.67624,3698,181.7201189832342,418.91968631692805,11.194159004867496,875.1047619047619,120.0,130,94178.0,12,4,5,42.83324037925265,29.503625209146684,27.66313441160067,1.5563688526151358,phase3_baseline,13
89,-850.3129792429792,7.62125908003913,18,15507,9,0.67282,3854,234.83082511676182,463.0843279709393,12.383757135443695,1120.7145161290323,120.0,130,84829.0,4,8,6,42.60485651214128,29.635761589403977,27.759381898454745,1.5576711546592015,phase3_baseline,14
90,-1055.6909493284495,7.474103017286821,22,15705,9,0.66864,3460,164.6485549132948,380.0601156069364,8.865317919075144,966.446195652174,60.0,70,51286.75,14,6,2,42.88828337874659,29.591280653950953,27.520435967302454,1.5559324981611287,phase3_baseline,15
91,-704.1311538461539,7.776265120506286,20,15885,9,0.66484,4010,194.99675810473815,417.95860349127184,10.748379052369078,1012.0978723404255,90.0,100,46526.0,9,6,5,42.887931034482754,29.63362068965517,27.478448275862068,1.5558895374889006,phase3_baseline,16
