episode,episode_reward,avg_loss,episode_steps,global_step,num_tls,epsilon_end,arrived_vehicles,avg_wait_time,avg_travel_time,avg_stops,avg_queue,decision_cycle_sec,decision_steps,decision_steps,waiting_total,env_seed,route_file,cycle_60_count,cycle_90_count,cycle_120_count,cycle_60_pct,cycle_90_pct,cycle_120_pct,cycle_entropy,phase_name,phase_episode
67,-2.6041969942648437,0.00945893374525688,22,12222,9,0.41988250000000005,5895,93.4,478.4992366412214,4.304495335029686,340.80213903743316,120.0,130,130,20750.0,109,,15,3,4,52.771929824561404,23.719298245614034,23.50877192982456,1.4700557783144967,phase2_mixed_moderate,7
68,-5.754062346430636,0.004600935456850989,22,12420,9,0.41047749999999994,6783,158.18251511130768,593.046292201091,8.101135190918473,975.7494565217391,60.0,70,70,32256.75,110,,15,4,3,53.03867403314917,23.61878453038674,23.34254143646409,1.4669356591079268,phase2_mixed_moderate,8
69,-6.54650879159341,0.0023972737633258753,23,12627,9,0.40064500000000003,7015,166.7254454739843,615.456022808268,9.187883107626515,1180.769189189189,60.0,70,70,42415.25,111,,16,6,1,53.328804347826086,23.641304347826086,23.029891304347828,1.4634545274394282,phase2_mixed_moderate,9
70,-6.411743958667901,0.0028351164402683144,23,12834,9,0.3908125,6729,148.93386833110418,584.242532322782,8.1836825679893,922.0868131868132,60.0,70,70,33063.25,112,,18,3,2,53.7433155080214,23.462566844919785,22.794117647058822,1.4584502501068866,phase2_mixed_moderate,10
71,-5.45336723615882,0.0037705239560455084,25,13059,9,0.38012500000000005,6795,147.5130242825607,585.9816041206769,8.892126563649743,877.6127071823205,60.0,70,70,30065.5,113,,23,2,0,54.402102496714846,23.193166885676742,22.404730617608408,1.4502819284106343,phase2_mixed_moderate,11
72,-1.8537215322624985,0.0034355686511844397,21,13248,9,0.37114749999999996,5276,80.36808188021229,459.4772554965883,3.5896512509476874,239.40166666666667,60.0,70,70,5705.75,114,,15,1,5,54.66321243523316,22.927461139896373,22.409326424870464,1.4470415924749767,phase2_mixed_moderate,12
73,-7.176496671470734,0.002698829931129391,24,13464,9,0.3608875,7207,141.71305675038158,565.1735812404606,7.658526432634938,812.4276041666667,120.0,130,130,61078.5,115,,19,2,3,55.003186743148504,22.689611217335884,22.307202039515612,1.4427099141466884,phase2_mixed_moderate,13
74,-5.102798155951273,0.00612293908753517,22,13662,9,0.35148250000000003,6718,140.95177136052396,564.412325096755,7.130991366478119,791.5592391304348,60.0,70,70,25548.5,116,,17,0,5,55.3391959798995,22.36180904522613,22.298994974874372,1.4383663136390648,phase2_mixed_moderate,14
75,-5.953128097952359,0.003735712337815626,22,13860,9,0.34207750000000003,6886,201.88280569270984,711.814406041243,13.243682834737148,1717.596132596685,60.0,70,70,66677.25,117,,16,3,3,55.60371517027863,22.229102167182663,22.1671826625387,1.4348825682186686,phase2_mixed_moderate,15
76,-5.532623636934335,0.00272875541375707,23,14067,9,0.332245,6783,140.88544891640868,562.9565089193572,7.094943240454076,791.972972972973,60.0,70,70,27370.25,118,,18,2,3,55.94874923733985,22.02562538133008,22.02562538133008,1.430277573297627,phase2_mixed_moderate,16
77,-6.494971164063801,0.003663174433471716,23,14274,9,0.3224125,7167,193.76768522394306,718.9617692200363,14.327333612390122,1527.7302702702702,60.0,70,70,63561.75,119,,16,6,1,56.163559831629584,22.06855081178593,21.767889356584487,1.427360150938259,phase2_mixed_moderate,17
78,-4.68531557232201,0.003526391450908374,22,14472,9,0.3130075000000001,6796,135.012507357269,555.3343143025309,7.089758681577399,785.6983695652174,60.0,70,70,26201.0,120,,17,0,5,56.4650059311981,21.767497034400947,21.767497034400947,1.4232562466502197,phase2_mixed_moderate,18
79,-4.70739590188565,0.00479892566606092,24,14688,9,0.30274750000000006,6602,136.75870948197516,561.2703726143593,7.265525598303545,753.2427777777777,60.0,70,70,22175.0,121,,22,0,2,56.98421975452952,21.449444769140854,21.56633547632963,1.416034641537459,phase2_mixed_moderate,19
80,-2.2003833212551163,0.002874376116475711,24,14904,9,0.2924875,5947,83.57810660837397,467.2545821422566,4.281654615772658,260.21322751322754,120.0,130,130,13405.25,122,,19,3,2,57.25806451612904,21.313364055299537,21.428571428571427,1.4121631866863367,phase2_mixed_moderate,20
81,-4.793789428857533,0.003701932505582986,23,15111,9,0.282655,6748,140.91434499110846,566.113218731476,7.219768820391227,812.267027027027,60.0,70,70,25338.0,123,,18,2,3,57.55681818181818,21.136363636363637,21.306818181818183,1.4078864061289456,phase2_mixed_moderate,21
82,-3.519674914736405,0.0030886032715595015,24,15327,9,0.27239500000000005,6037,94.08381646513169,483.43929103859534,4.426702004306775,334.31111111111113,120.0,130,130,19168.25,124,,20,1,3,57.87114845938376,20.896358543417367,21.23249299719888,1.4033181639194572,phase2_mixed_moderate,22
83,-4.656647492730646,0.004979977002367377,25,15552,9,0.2617075,6784,143.87146226415095,590.4677181603773,9.309994103773585,856.3922651933701,60.0,70,70,30717.5,125,,24,0,1,58.42076200993927,20.596355604638322,20.982882385422418,1.3952085453965495,phase2_mixed_moderate,23
84,-6.345639222533524,0.008210361787033353,22,15750,9,0.2523025,6682,152.38341813828194,585.5905417539659,8.118527387009877,943.3408839779006,120.0,130,130,71299.75,126,,16,3,3,58.56052344601963,20.50163576881134,20.93784078516903,1.3931122316299243,phase2_mixed_moderate,24
85,-6.739134531319051,0.00500285017981448,22,15948,9,0.2428975,6756,150.85035523978686,578.9954114860865,7.5,1003.5077348066299,60.0,70,70,34972.5,127,,16,3,3,58.75067312870221,20.40926225094238,20.84006462035541,1.3902519488456062,phase2_mixed_moderate,25
86,-2.692850453292354,0.002669815766802501,21,16137,9,0.23392000000000002,5762,100.42572023602915,486.4850746268657,4.444290177021867,372.695,60.0,70,70,8835.5,128,,14,3,4,58.86109632783395,20.329962746141565,20.80894092602448,1.3885728962117443,phase2_mixed_moderate,26
87,-5.518981037459268,0.005855342140421271,26,16371,9,0.22280500000000003,7035,125.70803127221038,544.4450604122246,7.024733475479744,722.805945945946,60.0,70,70,25388.5,129,,25,1,0,59.39139559286464,20.094438614900316,20.514165792235048,1.3804543086790269,phase2_mixed_moderate,27
88,-6.19265017985147,0.004319315611307199,24,16587,9,0.2125450000000001,7130,145.37475455820476,575.826507713885,7.715988779803647,872.1118279569893,60.0,70,70,28522.5,130,,20,2,2,59.709994821336096,19.93785603314345,20.352149145520457,1.3754910793083424,phase2_mixed_moderate,28
89,-6.067064241900257,0.0031729254709637685,23,16794,9,0.20271249999999996,6851,158.7534666472048,595.6038534520508,8.560502116479347,978.6697297297297,60.0,70,70,33398.0,131,,18,2,3,59.948849104859335,19.79539641943734,20.255754475703323,1.3717223599377903,phase2_mixed_moderate,29
90,-5.904320435179249,0.002761326000009748,22,16992,9,0.19330750000000008,6524,139.8851931330472,558.8137645616187,6.839668914776211,803.1618784530386,60.0,70,70,26683.75,132,,16,3,3,60.111223458038424,19.716885743174924,20.171890798786656,1.3691465850702085,phase2_mixed_moderate,30
91,-4.922276914877782,0.002553315629484132,24,17208,9,0.18304750000000003,6997,142.66571387737602,568.2310990424468,7.295698156352723,816.6387096774193,60.0,70,70,26747.0,133,,20,2,2,60.40938592111832,19.570644033949076,20.0199700449326,1.3643747638169252,phase2_mixed_moderate,31
92,-5.641823822205289,0.0038756123464554547,25,17433,9,0.17236000000000007,6691,166.11791959348378,628.0975937826931,10.721117919593484,1073.9010695187167,90.0,100,100,66464.5,134,,22,2,1,60.719566288812224,19.467718087727945,19.81271562345983,1.3593679398007636,phase2_mixed_moderate,32
93,-6.4614301002028975,0.0034881466047161007,22,17631,9,0.16295500000000007,6534,157.19146005509643,591.7601775329048,8.780685644322007,981.3441988950276,60.0,70,70,37774.0,135,,17,1,4,60.916179337231966,19.298245614035086,19.78557504873294,1.3561327162086532,phase2_mixed_moderate,33
94,-5.838379044767326,0.003662812188267708,25,17856,9,0.1522675000000001,6705,194.39075316927665,733.9049962714392,15.741834451901566,1416.3141304347826,120.0,130,130,110738.0,136,,23,1,1,61.26082771896054,19.104908565928778,19.634263715110684,1.3504352339684307,phase2_mixed_moderate,34
95,-6.79035155278269,0.00726694553969023,23,18063,9,0.1424350000000001,7039,153.0764313112658,589.98948714306,8.204716579059525,958.5237837837838,90.0,100,100,50441.5,137,,18,2,3,61.417697431018084,19.029495718363464,19.55280685061846,1.347822852566058,phase2_mixed_moderate,35
96,-1.560482933624803,0.004757639127395426,24,18279,9,0.13217500000000004,5189,67.16669878589323,442.18462131431875,3.4513393717479284,183.16944444444445,60.0,70,70,4061.5,138,,21,2,1,61.73013634226611,18.899858956276447,19.370004701457454,1.3425826800548069,phase2_mixed_moderate,36
97,-5.215533973458699,0.0024114388832822443,25,18504,9,0.12148750000000008,6772,153.8034554046072,591.3037507383343,8.896633195510928,903.4165775401069,90.0,100,100,52948.5,139,,22,2,1,62.006502554575015,18.810961449140734,19.182535996284255,1.3379048441712287,phase2_mixed_moderate,37
98,-2.567670959166486,0.0032010295589526114,26,18738,9,0.11037249999999998,5549,92.61722832942873,482.0821769688232,4.64047576139845,290.47135135135136,60.0,70,70,7312.5,140,,25,1,0,62.43119266055046,18.623853211009177,18.944954128440365,1.330607908668716,phase2_mixed_moderate,38
